time_s,state,lane_visible,lane_error,lane_confidence,finish_visible,obstacle_color,obstacle_motion,obstacle_x,obstacle_y,front_proximity,left_speed,right_speed,reason
0.032,FOLLOW_LANE,1,-0.003125,1.000000,0,,NONE,,,71.486,4.200000,4.200000,PD lane following
0.064,FOLLOW_LANE,1,-0.050000,1.000000,0,,NONE,,,69.968,3.754063,4.645938,PD lane following
0.096,FOLLOW_LANE,1,0.003125,1.000000,0,,NONE,,,69.651,4.285938,4.114063,PD lane following
0.128,FOLLOW_LANE,1,0.000000,1.000000,0,,NONE,,,70.805,4.200000,4.200000,PD lane following
0.160,FOLLOW_LANE,1,0.000000,1.000000,0,,NONE,,,74.828,4.200000,4.200000,PD lane following
0.192,FOLLOW_LANE,1,0.001563,1.000000,0,,NONE,,,71.098,4.200000,4.200000,PD lane following
0.224,FOLLOW_LANE,1,0.000000,1.000000,0,,NONE,,,72.758,4.200000,4.200000,PD lane following
0.256,FOLLOW_LANE,1,0.000000,1.000000,0,,NONE,,,72.535,4.200000,4.200000,PD lane following
0.288,FOLLOW_LANE,1,0.000000,1.000000,0,,NONE,,,71.601,4.200000,4.200000,PD lane following
0.320,FOLLOW_LANE,1,0.000000,1.000000,0,,NONE,,,68.146,4.200000,4.200000,PD lane following
0.352,FOLLOW_LANE,1,0.000000,1.000000,0,,NONE,,,69.419,4.200000,4.200000,PD lane following
0.384,FOLLOW_LANE,1,0.000000,1.000000,0,,NONE,,,73.454,4.200000,4.200000,PD lane following
0.416,FOLLOW_LANE,1,0.000000,1.000000,0,,NONE,,,68.679,4.200000,4.200000,PD lane following
0.448,FOLLOW_LANE,1,0.000000,1.000000,0,,NONE,,,70.734,4.200000,4.200000,PD lane following
0.480,FOLLOW_LANE,1,0.000000,1.000000,0,,NONE,,,71.320,4.200000,4.200000,PD lane following
0.512,FOLLOW_LANE,1,0.000000,1.000000,0,,NONE,,,73.657,4.200000,4.200000,PD lane following
0.544,FOLLOW_LANE,1,0.000000,1.000000,0,,NONE,,,70.838,4.200000,4.200000,PD lane following
0.576,FOLLOW_LANE,1,0.000000,1.000000,0,,NONE,,,67.904,4.200000,4.200000,PD lane following
